,dateFixed,no_of_cases,delayedDate,rainfall,temperature,fixedDate
320,2014-12-03,158,2014-12-03,0.0,28.933333333333334,2014-12-03
321,2014-12-04,158,2014-12-04,40.46666666666667,26.066666666666663,2014-12-04
322,2014-12-05,158,2014-12-05,0.0,28.2,2014-12-05
323,2014-12-06,158,2014-12-06,12.799999999999999,27.0,2014-12-06
324,2014-12-07,149,2014-12-07,16.866666666666667,26.96666666666667,2014-12-07
325,2014-12-08,149,2014-12-08,0.06666666666666667,27.099999999999998,2014-12-08
326,2014-12-09,149,2014-12-09,0.0,28.03333333333333,2014-12-09
327,2014-12-10,149,2014-12-10,0.6,28.3,2014-12-10
328,2014-12-11,149,2014-12-11,1.3333333333333333,27.666666666666668,2014-12-11
329,2014-12-12,149,2014-12-12,6.933333333333334,27.96666666666667,2014-12-12
330,2014-12-13,149,2014-12-13,12.933333333333335,27.766666666666666,2014-12-13
331,2014-12-14,162,2014-12-14,2.8000000000000003,28.299999999999997,2014-12-14
332,2014-12-15,162,2014-12-15,0.06666666666666667,27.933333333333334,2014-12-15
333,2014-12-16,162,2014-12-16,2.3333333333333335,26.86666666666667,2014-12-16
334,2014-12-17,162,2014-12-17,44.06666666666667,26.2,2014-12-17
335,2014-12-18,162,2014-12-18,1.866666666666667,27.433333333333334,2014-12-18
336,2014-12-19,162,2014-12-19,20.466666666666665,25.133333333333336,2014-12-19
337,2014-12-20,162,2014-12-20,2.4,26.866666666666664,2014-12-20
338,2014-12-21,212,2014-12-21,2.6,27.03333333333333,2014-12-21
339,2014-12-22,212,2014-12-22,0.39999999999999997,26.8,2014-12-22
340,2014-12-23,212,2014-12-23,0.39999999999999997,26.266666666666666,2014-12-23
341,2014-12-24,212,2014-12-24,1.5999999999999999,26.633333333333336,2014-12-24
342,2014-12-25,212,2014-12-25,12.200000000000001,27.2,2014-12-25
343,2014-12-26,212,2014-12-26,37.8,25.233333333333334,2014-12-26
344,2014-12-27,212,2014-12-27,16.333333333333332,25.833333333333332,2014-12-27
345,2014-12-28,177,2014-12-28,1.3333333333333333,26.233333333333334,2014-12-28
346,2014-12-29,177,2014-12-29,2.6,25.7,2014-12-29
347,2014-12-30,177,2014-12-30,0.0,25.333333333333332,2014-12-30
348,2014-12-31,177,2014-12-31,0.0,26.3,2014-12-31
349,2015-01-01,177,2015-01-01,0.3333333333333333,25.900000000000002,2015-01-01
